Source,Target,Category,Type
Greenpeace France,Djoe_ 🐢,Mention,Undirected
Greenpeace France,༓☾Nǟɖʏǟ🐢☽༓,Mention,Undirected
Greenpeace France,mister renard,Mention,Undirected
Greenpeace France,Teïssir,Mention,Undirected
Greenpeace France,QG le média libre,Mention,Undirected
Greenpeace France,Frédéric Sergent,Mention,Undirected
Greenpeace France,Basile Mesré-Barjon,Mention,Undirected
Greenpeace France,JPCAPDAIL,Mention,Undirected
Greenpeace France,Léo Coutellec - Candidat Nupes 1ère circo Nièvre,Mention,Undirected
Greenpeace France,Être_libre 🕊️🇺🇦🏳️ vs. 🙉🙈,Mention,Undirected
Greenpeace France,Cappu Fibré,Mention,Undirected
Greenpeace France,Emmanuel Macron,Mention,Undirected
Greenpeace France,Les Amis de la Terre International,Mention,Undirected
Greenpeace France,Махновщина,Mention,Undirected
Greenpeace France,JE Saulnier,Mention,Undirected
Greenpeace France,Eric MARTIN,Mention,Undirected
Greenpeace France,Alexandre Poidatz,Mention,Undirected
Greenpeace France,Fabrice Blin φ 🕊️🐢,Mention,Undirected
Greenpeace France,dr qooqie 🌐 - PhD léger,Mention,Undirected
Greenpeace France,Géraldine Woessner,Mention,Undirected
Greenpeace France,FuryOtS,Mention,Undirected
Greenpeace France,Alternatiba ANV Rhône,Mention,Undirected
Greenpeace France,Claude Atcher,Mention,Undirected
Greenpeace France,Frederic Amiel,Mention,Undirected
Greenpeace France,Maxitator,Mention,Undirected
Greenpeace France,Jean-Luc Mélenchon,Mention,Undirected
Greenpeace France,Résistance à l'Agression Publicitaire,Mention,Undirected
Greenpeace France,Sarah Fayolle,Mention,Undirected
Greenpeace France,Aba,Mention,Undirected
Greenpeace France,Sherpa,Mention,Undirected
Greenpeace France,Maxime.L,Mention,Undirected
Greenpeace France,Ju ت,Mention,Undirected
Greenpeace France,Greenpeace Paris,Mention,Undirected
Greenpeace France,vert,Mention,Undirected
Greenpeace France,ThePlaneTruth🐢🐢🐢🐢,Mention,Undirected
Raphael Glucksmann,Yannick Jadot,Mention,Undirected
Raphael Glucksmann,Patrick Pouyanné,Mention,Undirected
Peter Sagan,Team TotalEnergies,Mention,Undirected
Team TotalEnergies,Defend Intelligence,Mention,Undirected
Team TotalEnergies,Noëlla Kizubanata Kabundji 👩🏼‍🔬🩸🦠🇨🇩,Mention,Undirected
CamilleEtienne,BNP Paribas Group #Vivatech,Mention,Undirected
CamilleEtienne,Emmanuel Macron,Mention,Undirected
CamilleEtienne,Audrey Garric,Mention,Undirected
CamilleEtienne,Reclaim Finance,Mention,Undirected
CamilleEtienne,Crédit Agricole,Mention,Undirected
CamilleEtienne,Societe Generale Group,Mention,Undirected
CamilleEtienne,Stacy Algrain,Mention,Undirected
CamilleEtienne,La Banque Postale,Mention,Undirected
CamilleEtienne,AXA France,Mention,Undirected
CamilleEtienne,Amundi,Mention,Undirected
CamilleEtienne,Crédit Mutuel,Mention,Undirected
CamilleEtienne,Teïssir,Mention,Undirected
CamilleEtienne,Clément Pairot ✌️🌍✊,Mention,Undirected
CamilleEtienne,AXA,Mention,Undirected
CamilleEtienne,Pauline Boyer,Mention,Undirected
CamilleEtienne,Nicolas Nace,Mention,Undirected
Mickaël Correia,Mediapart,Mention,Undirected
Mickaël Correia,Les Amis de la Terre FR,Mention,Undirected
Mickaël Correia,Notre Affaire à Tous,Mention,Undirected
Mickaël Correia,L'avis de Mamère le podcast,Mention,Undirected
Mickaël Correia,Lindgaard,Mention,Undirected
Mickaël Correia,Bon Pote,Mention,Undirected
Salomé Saqué,"BLAST, Le souffle de l'info",Mention,Undirected
"BLAST, Le souffle de l'info",Soumaya Benaissa,Mention,Undirected
"BLAST, Le souffle de l'info",Basilic Podcast - Jeane,Mention,Undirected
"BLAST, Le souffle de l'info",Les Amis de la Terre FR,Mention,Undirected
"BLAST, Le souffle de l'info",Simon Assoun שמעון הסון,Mention,Undirected
"BLAST, Le souffle de l'info",Maxime Combes,Mention,Undirected
"BLAST, Le souffle de l'info",Reclaim Finance,Mention,Undirected
Elodie Nace,Teïssir,Mention,Undirected
Elodie Nace,Patrick Pouyanné,Mention,Undirected
Elodie Nace,ANV-COP21,Mention,Undirected
Elodie Nace,Emma Tosini,Mention,Undirected
Yannick Jadot,Patrick Pouyanné,Mention,Undirected
Yannick Jadot,Bastien 🌻🇪🇺🇺🇦,Mention,Undirected
Yannick Jadot,TotalEnergies Press,Mention,Undirected
Yannick Jadot,francoise degois,Mention,Undirected
Yannick Jadot,L'affaire du siècle,Mention,Undirected
Yannick Jadot,Charles de Lacombe,Mention,Undirected
Yannick Jadot,Marie Toussaint 🌍🌏,Mention,Undirected
Yannick Jadot,Samuel Leré,Mention,Undirected
Yannick Jadot,DimancheEnPolitique,Mention,Undirected
Yannick Jadot,JE Saulnier,Mention,Undirected
Yannick Jadot,cardojo_,Mention,Undirected
Yannick Jadot,Génération Ecologie,Mention,Undirected
Yannick Jadot,Bobbin finaliste Secret Story 2018,Mention,Undirected
Yannick Jadot,Geron Nina,Mention,Undirected
Yannick Jadot,ValK 💫 #InactionDirecte,Mention,Undirected
Yannick Jadot,Marine Tondelier 🇫🇷🇪🇺🌻,Mention,Undirected
Yannick Jadot,François Thiollet,Mention,Undirected
Yannick Jadot,Jérôme Gleizes,Mention,Undirected
Yannick Jadot,𝑴𝒊𝒄𝒉𝒆𝒍 𝑷𝒓𝒐𝒑𝒐𝒔 🇪🇺 #Ensemble,Mention,Undirected
Yannick Jadot,LCI,Mention,Undirected
Yannick Jadot,Quentin Guillemain ✌️,Mention,Undirected
Yannick Jadot,Fernier Alexandre,Mention,Undirected
Yannick Jadot,Michel Cucchi 🇺🇦 🇪🇺✌️,Mention,Undirected
Yannick Jadot,Frederick M 💙💛 #NUPES 💚❤️ #JeSuisAmish 🌻🇪🇺,Mention,Undirected
Yannick Jadot,Julie Laernoes,Mention,Undirected
Patrick Pouyanné,RTL France,Mention,Undirected
Patrick Pouyanné,Maxime Combes,Mention,Undirected
Patrick Pouyanné,Matthieu Auzanneau,Mention,Undirected
Patrick Pouyanné,Julie Garnier 🐝🐢✌️,Mention,Undirected
Patrick Pouyanné,Matthieu ORPHELIN,Mention,Undirected
Patrick Pouyanné,J-F Julliard,Mention,Undirected
Patrick Pouyanné,Lorette Philippot,Mention,Undirected
Patrick Pouyanné,Delphine Batho,Mention,Undirected
Patrick Pouyanné,ChampagneRadis,Mention,Undirected
Patrick Pouyanné,Matthieu Pechberty,Mention,Undirected
Patrick Pouyanné,Les Amis de la Terre FR,Mention,Undirected
Patrick Pouyanné,Fridays For Future,Mention,Undirected
Patrick Pouyanné,Marie Toussaint 🌍🌏,Mention,Undirected
Patrick Pouyanné,Christiane Lambert,Mention,Undirected
Patrick Pouyanné,La FNSEA,Mention,Undirected
Patrick Pouyanné,Jérôme Gleizes,Mention,Undirected
Patrick Pouyanné,Info-Birmanie,Mention,Undirected
Patrick Pouyanné,ANV-COP21,Mention,Undirected
Patrick Pouyanné,cardojo_,Mention,Undirected
Patrick Pouyanné,TotalEnergies Press,Mention,Undirected
Patrick Pouyanné,Pierre Larrouturou,Mention,Undirected
Patrick Pouyanné,Extinction Rebellion France 🐝🌺,Mention,Undirected
Patrick Pouyanné,Celia Gautier,Mention,Undirected
Patrick Pouyanné,Xavier CHOLIN,Mention,Undirected
Patrick Pouyanné,François Thiollet,Mention,Undirected
Patrick Pouyanné,Alternatiba Paris,Mention,Undirected
Patrick Pouyanné,Espoir44,Mention,Undirected
Patrick Pouyanné,𝑴𝒊𝒄𝒉𝒆𝒍 𝑷𝒓𝒐𝒑𝒐𝒔 🇪🇺 #Ensemble,Mention,Undirected
Patrick Pouyanné,LCI,Mention,Undirected
Patrick Pouyanné,Fernier Alexandre,Mention,Undirected
Patrick Pouyanné,Stacy Algrain,Mention,Undirected
Patrick Pouyanné,Les Echos Start,Mention,Undirected
Patrick Pouyanné,Pablo FLYE,Mention,Undirected
Pierre Larrouturou,Amundi,Mention,Undirected
Pierre Larrouturou,Stacy Algrain,Mention,Undirected
Pierre Larrouturou,AXA France,Mention,Undirected
Pierre Larrouturou,BNP Paribas Group #Vivatech,Mention,Undirected
Pierre Larrouturou,AXA,Mention,Undirected
Pierre Larrouturou,Societe Generale Group,Mention,Undirected
Pierre Larrouturou,Reclaim Finance,Mention,Undirected
Martine Roffinella 🌈,Djoe_ 🐢,Mention,Undirected
Martine Roffinella 🌈,mister renard,Mention,Undirected
Martine Roffinella 🌈,Cappu Fibré,Mention,Undirected
Martine Roffinella 🌈,Махновщина,Mention,Undirected
Martine Roffinella 🌈,Eric MARTIN,Mention,Undirected
Martine Roffinella 🌈,FuryOtS,Mention,Undirected
Martine Roffinella 🌈,Maxitator,Mention,Undirected
Alexandre-Reza Kokabi,ANV-COP21,Mention,Undirected
Alexandre-Reza Kokabi,Les Amis de la Terre FR,Mention,Undirected
Alexandre-Reza Kokabi,Alternatiba Paris,Mention,Undirected
Alexandre-Reza Kokabi,Reporterre | Le quotidien de l'écologie,Mention,Undirected
Alexandre-Reza Kokabi,Loup Espargilière,Mention,Undirected
ANV-COP21,Les Amis de la Terre FR,Mention,Undirected
ANV-COP21,Alternatiba Paris,Mention,Undirected
ANV-COP21,Clara Gonzales,Mention,Undirected
ANV-COP21,Emma Tosini,Mention,Undirected
ANV-COP21,Basile Mesré-Barjon,Mention,Undirected
ANV-COP21,BNP Paribas Group,Mention,Undirected
ANV-COP21,Attac France,Mention,Undirected
ANV-COP21,QG le média libre,Mention,Undirected
ANV-COP21,Léo Coutellec - Candidat Nupes 1ère circo Nièvre,Mention,Undirected
ANV-COP21,Lorette Philippot,Mention,Undirected
ANV-COP21,Alternatiba ANV Rhône,Mention,Undirected
ANV-COP21,~ le mouvement,Mention,Undirected
ANV-COP21,Groupe Crédit Agricole,Mention,Undirected
ANV-COP21,Frederic Amiel,Mention,Undirected
ANV-COP21,Sarah Fayolle,Mention,Undirected
ANV-COP21,vert,Mention,Undirected
Les Amis de la Terre FR,Stacy Algrain,Mention,Undirected
Les Amis de la Terre FR,Alternatiba Paris,Mention,Undirected
Les Amis de la Terre FR,Camille Crosnier,Mention,Undirected
Les Amis de la Terre FR,Clara Gonzales,Mention,Undirected
Les Amis de la Terre FR,Emma Tosini,Mention,Undirected
Les Amis de la Terre FR,Mathilde Panot,Mention,Undirected
Les Amis de la Terre FR,Lulu,Mention,Undirected
Les Amis de la Terre FR,Attac France,Mention,Undirected
Les Amis de la Terre FR,Delphine Batho,Mention,Undirected
Les Amis de la Terre FR,QG le média libre,Mention,Undirected
Les Amis de la Terre FR,Amundi,Mention,Undirected
Les Amis de la Terre FR,Crédit Agricole,Mention,Undirected
Les Amis de la Terre FR,Basile Mesré-Barjon,Mention,Undirected
Les Amis de la Terre FR,Léo Coutellec - Candidat Nupes 1ère circo Nièvre,Mention,Undirected
Les Amis de la Terre FR,Marie Cohuet ✌🏻,Mention,Undirected
Les Amis de la Terre FR,Les Amis de la Terre International,Mention,Undirected
Les Amis de la Terre FR,Gouvernement,Mention,Undirected
Les Amis de la Terre FR,Vanessa Nakate,Mention,Undirected
Les Amis de la Terre FR,Nakabuye Hilda F.,Mention,Undirected
Les Amis de la Terre FR,Lorette Philippot,Mention,Undirected
Les Amis de la Terre FR,Alexandre Poidatz,Mention,Undirected
Les Amis de la Terre FR,BNP Paribas Group #Vivatech,Mention,Undirected
Les Amis de la Terre FR,Alternatiba ANV Rhône,Mention,Undirected
Les Amis de la Terre FR,Frederic Amiel,Mention,Undirected
Les Amis de la Terre FR,Résistance à l'Agression Publicitaire,Mention,Undirected
Les Amis de la Terre FR,Sarah Fayolle,Mention,Undirected
Les Amis de la Terre FR,bp,Mention,Undirected
Les Amis de la Terre FR,Shell,Mention,Undirected
Les Amis de la Terre FR,Societe Generale Group,Mention,Undirected
Les Amis de la Terre FR,Sherpa,Mention,Undirected
Les Amis de la Terre FR,Lindgaard,Mention,Undirected
Les Amis de la Terre FR,Greenpeace Paris,Mention,Undirected
Les Amis de la Terre FR,vert,Mention,Undirected
Les Amis de la Terre FR,Notre Affaire à Tous,Mention,Undirected
Les Amis de la Terre FR,Pablo FLYE,Mention,Undirected
Alternatiba Paris,Clara Gonzales,Mention,Undirected
